LISTING_ID,FREE_FLOAT_FACTOR,TRADE_DAYS_6M,DWH_INSTRUMENT_ID,DWH_LISTING_ID,IN_EXCLUSION_LIST,AVG_MCAP_20D,XETRA_TRADING_TYPE,IS_SIBLING_BY_ISSUER_IN_BLUE,COMPLIANCE_CHECK,COMPLIANCE_CHECK_GF_RULE_FLAG,ANN_REP_BREACH_4M,ANN_REP_RECD,SEMI_ANN_REP_BREACH_3M,SEMI_ANN_REP_RECD,QTLY_REP_BREACH_75D,QTLY_REP_RECD,COUNTRY_ID,IS_EUEFTA_COUNTRY,IS_HEADQUATER_IN_GERMANY,IN_RANKING_LIST_COMPOSITION,SUM_TURNOVER_12M,AVG_TURNOVER_3M,IN_COMPOSITION_DAX30,IN_COMPOSITION_MDAX,SUM_TURNOVER_12M_XETRA,SUM_TURNOVER_3M,SUM_TURNOVER_3M_XETRA,TRADE_DAYS_3M,ISSUER
91104,0.2263,129,52339,91104,0,4777699.021,30,0,1,,,1,,1,,1,DE,1,1,0,370269.03,1408.899697,0,0,323184.81,92987.38,89350.38,66,27556
147642,0.4336,129,72396,147642,0,,93,0,0,,,1,0,0,1,0,DE,1,1,0,4320.06,0.273939394,0,0,0,18.08,0,66,27561
78445102,0.4622,129,40331350,78445102,0,3027519.407,30,0,1,,1,0,0,0,,1,DE,1,1,0,784790.59,2333.069394,0,0,697368.44,153982.58,141739.75,66,27567
147679,0.6431,129,72402,147679,1,,93,0,0,,1,0,0,0,1,0,DE,1,1,0,24451.74,57.83575758,0,0,0,3817.16,0,66,27591
147687,1,129,72404,147687,0,395665373.8,30,0,1,,,1,,1,,1,DE,1,1,1,385301977.2,1093068.76,0,0,381186610.9,72142538.19,71469602.22,66,27599
329643,0.183,129,145011,329643,0,294697538.7,30,0,1,,,1,,1,,1,DE,1,1,0,81082241.89,229140.6118,0,0,80638044.04,15123280.38,14908445.48,66,27659
5025465,0.1828,129,2723325,5025465,0,,93,0,0,,,1,0,0,1,0,DE,1,1,0,185387.38,155.1290909,0,0,0,10238.52,0,66,27711
148948,0.7907,129,72823,148948,0,3406586856,30,0,1,,,1,,1,,1,DE,1,1,1,5517381265,17145928.43,0,1,5485565678,1131631276,1125646384,66,27800
148959,0.2507,129,72824,148959,0,10021805.64,30,0,1,,,1,,1,1,0,DE,1,1,0,1247943.68,4815.325,0,0,1196118.84,317811.45,312929.55,66,27801
150235,0.8892,129,73251,150235,0,421138263.4,30,0,1,,,1,,1,,1,DE,1,1,0,40241656.5,96435.57045,0,0,39803134.15,6364747.65,6236175.35,66,27807
158194,0.2044,129,75852,158194,0,48285290.49,30,0,1,,,1,,1,,1,DE,1,1,0,5222416.9,14428.02121,0,0,4789618.5,952249.4,780273.9,66,27832
9084766,0.1197,129,4549711,9084766,0,,93,0,1,,,1,,1,1,0,DE,1,1,0,121946.47,1579.901515,0,0,0,104273.5,0,66,27926
18023072,0.4002,129,9048445,18023072,0,,93,0,1,,,1,0,0,1,0,DE,1,1,0,14931.28,0.977575758,0,0,0,64.52,0,66,27950
4099946,0.7564,129,2259757,4099946,0,22294542301,30,0,1,,,1,,1,,1,DE,1,1,1,13222716665,45933963.61,1,0,13177195488,3031641598,3020984203,66,27990
17530706,0.293,129,8857433,17530706,0,1530585476,30,0,1,,,1,,1,,1,DE,1,1,1,2398276637,11257953.02,0,1,2386081442,743024899.3,738952050.6,66,280299
162983,0.8841,129,77372,162983,0,220914890.5,30,0,1,,,1,,1,,1,DE,1,1,0,24990949.45,84119.43712,0,0,24105563.5,5551882.85,5316473.95,66,28073
163015,0.0965,129,77382,163015,0,3865804039,30,1,1,,,1,,1,,1,DE,1,1,0,1798307639,5104669.258,0,0,1779650594,336908171.1,332756439.8,66,28094
163052,1,129,77385,163052,0,23756817778,30,0,1,,,1,,1,,1,DE,1,1,1,36499232740,113143524.4,1,0,36326680310,7467472611,7438890808,66,28094
163120,0.4991,129,77394,163120,0,356468176.1,30,0,1,,,1,,1,,1,DE,1,1,1,89166045.35,367726.1568,0,0,88025492.35,24269926.35,24020067.85,66,28097
32678388,0.555,129,16252969,32678388,0,1284081451,30,0,1,,,1,,1,,1,DE,1,1,1,1144714972,3844485.721,0,0,1140289686,253736057.6,253071724.3,66,28120
173224,0.2303,129,81055,173224,0,335328041.3,30,0,1,,,1,0,0,,1,DE,1,1,1,56104525.04,172304.9615,0,0,55536093,11372127.46,11267045.52,66,28131
48163213,0.325,129,24309525,48163213,0,60786257.11,30,0,1,,,1,,1,,1,DE,1,1,0,10933794.24,21618.40758,0,0,10761758.2,1426814.9,1418364.08,66,28144
165813,0.0707,129,78282,165813,0,,93,0,0,,,1,,1,,1,DE,1,1,0,1112697,4073.106061,0,0,0,268825,0,66,28163
70766235,0.2164,129,36273240,70766235,0,334969.0092,30,0,1,,,1,0,0,1,0,DE,1,1,0,1005080.49,3601.202424,0,0,870573.49,237679.36,195321.84,66,28182
165919,0.0798,129,78317,165919,0,,93,0,0,,,1,,1,1,0,DE,1,1,0,291837,1212.454545,0,0,0,80022,0,66,28237
165925,0.3736,129,78318,165925,0,,93,0,0,,,1,,1,1,0,DE,1,1,0,1466581.6,4132.69697,0,0,0,272758,0,66,28237
18762064,1,129,9432441,18762064,0,4579109033,30,0,1,,,1,,1,,1,DE,1,1,1,4586029119,11350053.19,0,1,4583125829,749103510.9,748548034.3,66,283335
29305951,0.0239,129,10974465,29305951,0,8145526.828,30,0,0,,,1,0,0,1,0,DE,1,1,0,1042474.42,3169.804545,0,0,960248.34,209207.1,191143.4,66,28366
1010384,0.4378,129,635607,1010384,0,91719424.68,30,0,1,,,1,,1,,1,DE,1,1,0,20564023.7,74865.85682,0,0,20197006.6,4941146.55,4796128.75,66,28374
